"Id","Category","Severity","Title","Description","Remediation","ObjectDN","Domain","Source","Details"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Print Operators (Group) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Print Operators,CN=Builtin,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object mathiasadmin (User) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=mathiasadmin,OU=PRIVILEGED USERS,OU=USERS,OU=PRD,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=GenericRead; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Replicator (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-561. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Replicator,CN=Builtin,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-561; Rights=ReadProperty, WriteProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object svc.mim.maad (User) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-561. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=SVC MIM.MAAD,OU=SVC ACCOUNTS,OU=PRD,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-561; Rights=ReadProperty, WriteProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object svc.ma.service1 (User) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal MATHIASMOTRON\krbtgt. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=SVC MIM.MA.Service1,OU=SVC ACCOUNTS,OU=PRD,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=MATHIASMOTRON\krbtgt; Rights=GenericRead; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Account Operators (Group) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Account Operators,CN=Builtin,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object svc.mimservice1 (User) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal MATHIASMOTRON\krbtgt. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=SVC MIMService1,OU=SVC ACCOUNTS,OU=PRD,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=MATHIASMOTRON\krbtgt; Rights=GenericRead; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Server Operators (Group) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Server Operators,CN=Builtin,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Schema Admins (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Schema Admins,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=GenericRead; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object svc.adminldapv3 (User) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-560. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=SVC AdminLdapv3,OU=SVC ACCOUNTS,OU=PRD,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-560; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Server Operators (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Server Operators,CN=Builtin,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=GenericRead; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object AuthNPS2 (User) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal MATHIASMOTRON\svc.aadc.maad. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=AuthNPS2,OU=SPECIFIC USERS,OU=USERS,OU=PRD,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=MATHIASMOTRON\svc.aadc.maad; Rights=ReadProperty, WriteProperty; AccessControlType=Allow; IsInherited=True"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object AuthNPS (User) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-561. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=AuthNPS,OU=SPECIFIC USERS,OU=USERS,OU=PRD,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-561; Rights=ReadProperty, WriteProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Backup Operators (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-561. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Backup Operators,CN=Builtin,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-561; Rights=ReadProperty, WriteProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Backup Operators (Group) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal MATHIASMOTRON\Enterprise Admins. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Backup Operators,CN=Builtin,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=MATHIASMOTRON\Enterprise Admins; Rights=CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Administrators (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Administrators,CN=Builtin,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=GenericRead; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Admin (User) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Admin,CN=Users,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Account Operators (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-561. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Account Operators,CN=Builtin,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-561; Rights=ReadProperty, WriteProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Administrators (Group) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal MATHIASMOTRON\Enterprise Admins. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Administrators,CN=Builtin,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=MATHIASMOTRON\Enterprise Admins; Rights=CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Admin_AD_Full_Admins (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Admin_AD_Full_Admins,OU=ADMIN GROUPS,OU=GROUPS,OU=PRD,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=GenericRead; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Key Admins (Group) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Key Admins,CN=Users,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Enterprise Key Admins (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-561. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Enterprise Key Admins,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-561; Rights=ReadProperty, WriteProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Key Admins (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-561. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Key Admins,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-561; Rights=ReadProperty, WriteProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object krbtgt (User) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=krbtgt,CN=Users,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Enterprise Admins (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-560. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Enterprise Admins,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-560; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Domain Admins (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal MATHIASMOTRON\krbtgt. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Domain Admins,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=MATHIASMOTRON\krbtgt; Rights=GenericRead; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Domain Admins (Group) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Domain Admins,CN=Users,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Domain Controllers (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-561. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Domain Controllers,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-561; Rights=ReadProperty, WriteProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Domain Controllers (Group) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal MATHIASMOTRON\Enterprise Admins. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=MATHIASMOTRON\Enterprise Admins; Rights=CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner; AccessControlType=Allow; IsInherited=False"
"MATI-CONFIG-010","Config","High","Inter-forest trust without SID filtering","Inter-forest or external trust from DC=mathiasmotron,DC=com to red.local does not have SID filtering enabled, which may allow SIDHistory abuse across the trust.","Enable SID filtering on this trust unless there is a specific and documented requirement not to. Review cross-forest/group SIDHistory usage and harden trusts accordingly.","red.local","DC=mathiasmotron,DC=com","10-MATI-Config","Source=DC=mathiasmotron,DC=com; Target=red.local; TrustType=Uplevel; Direction=Outbound; IntraForest=False; SIDFilteringQuarantined=False"
"MATI-CONFIG-010","Config","High","Inter-forest trust without SID filtering","Inter-forest or external trust from DC=mathiasmotron,DC=com to ext.local does not have SID filtering enabled, which may allow SIDHistory abuse across the trust.","Enable SID filtering on this trust unless there is a specific and documented requirement not to. Review cross-forest/group SIDHistory usage and harden trusts accordingly.","ext.local","DC=mathiasmotron,DC=com","10-MATI-Config","Source=DC=mathiasmotron,DC=com; Target=ext.local; TrustType=Uplevel; Direction=BiDirectional; IntraForest=False; SIDFilteringQuarantined=False"
"MATI-KERB-002","Kerberos","High","Domain Controller account not AES-only","The domain controller account MM-DC3$ in domain mathiasmotron.com supports legacy Kerberos encryption types (RC4 and/or DES) while the KDC still accepts RC4. This weakens Kerberos security and should be remediated before enforcing an AES-only posture.","Restrict Kerberos encryption types for domain controller accounts to AES-only (AES128/AES256) and validate compatibility before disabling RC4 at the KDC level.","CN=MM-DC3,OU=Domain Controllers,DC=mathiasmotron,DC=com","mathiasmotron.com","30-MATI-KerberosAndDelegation","msDS-SupportedEncryptionTypes=28; AllowRC4=True; AllowDES=False; KdcRC4Allowed=True"
"MATI-KERB-002","Kerberos","High","Domain Controller account not AES-only","The domain controller account MM-DC4$ in domain child.mathiasmotron.com supports legacy Kerberos encryption types (RC4 and/or DES) while the KDC still accepts RC4. This weakens Kerberos security and should be remediated before enforcing an AES-only posture.","Restrict Kerberos encryption types for domain controller accounts to AES-only (AES128/AES256) and validate compatibility before disabling RC4 at the KDC level.","CN=MM-DC4,OU=Domain Controllers,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","30-MATI-KerberosAndDelegation","msDS-SupportedEncryptionTypes=28; AllowRC4=True; AllowDES=False; KdcRC4Allowed=True"
"MATI-KERB-002","Kerberos","High","Domain Controller account not AES-only","The domain controller account MM-DC1$ in domain mathiasmotron.com supports legacy Kerberos encryption types (RC4 and/or DES) while the KDC still accepts RC4. This weakens Kerberos security and should be remediated before enforcing an AES-only posture.","Restrict Kerberos encryption types for domain controller accounts to AES-only (AES128/AES256) and validate compatibility before disabling RC4 at the KDC level.","CN=MM-DC1,OU=Domain Controllers,DC=mathiasmotron,DC=com","mathiasmotron.com","30-MATI-KerberosAndDelegation","msDS-SupportedEncryptionTypes=28; AllowRC4=True; AllowDES=False; KdcRC4Allowed=True"
"MATI-KERB-002","Kerberos","High","Domain Controller account not AES-only","The domain controller account MM-DC2$ in domain mathiasmotron.com supports legacy Kerberos encryption types (RC4 and/or DES) while the KDC still accepts RC4. This weakens Kerberos security and should be remediated before enforcing an AES-only posture.","Restrict Kerberos encryption types for domain controller accounts to AES-only (AES128/AES256) and validate compatibility before disabling RC4 at the KDC level.","CN=MM-DC2,OU=Domain Controllers,DC=mathiasmotron,DC=com","mathiasmotron.com","30-MATI-KerberosAndDelegation","msDS-SupportedEncryptionTypes=28; AllowRC4=True; AllowDES=False; KdcRC4Allowed=True"
"MATI-KERB-010","Kerberos","High","Domain controllers allow RC4 Kerberos encryption","One or more domain controllers for mathiasmotron.com are configured to allow RC4-HMAC Kerberos encryption via SupportedEncryptionTypes on the KDC. This enables the use of weak Kerberos encryption and increases exposure to Kerberoasting and downgrade attacks.","Review Kerberos encryption requirements and progressively restrict SupportedEncryptionTypes on all domain controllers to AES-only (AES128/AES256). Validate service compatibility before disabling RC4.","DC=mathiasmotron,DC=com","mathiasmotron.com","30-MATI-KerberosAndDelegation","DCsWithRC4=MM-DC3.mathiasmotron.com,MM-DC2.mathiasmotron.com,MM-DC1.mathiasmotron.com; TotalDCs=3"
